isrc,song_title,artist,spirit_songwriters,lum_us_streams_12mo,lum_us_ondemand_12mo,lum_radio_spins_12mo,lum_radio_audience_12mo,source_ok
QZNWY2699040,Sweet Cherry Pie,Chizzy Stephens,Chizzy,2014,1984,0,0,yes
QZMER2673013,Gut Check,Remy,Remy Gautreau,13547,13547,0,0,yes
QZNWT2628895,Mine To Miss,Connor McCutcheon,Connor McCutcheon,192158,192006,0,0,yes
CA5KR2635234,Walk Away,Tritonal,Jordan Cosmo,1791095,688780,3995,451500,yes
QZ5FN2656391,In My Bones,Valerie Broussard,"Cale Dodds,Justin Halpin",10711,10178,0,0,yes
USAT22600963,Struck,Charlotte MacInnes,"Joe Janiak,Sara Boe",273565,254247,0,0,yes
USME32600011,Doomsday Doggerel,The Black Crowes,"Chris Robinson,Rich Robinson",174964,168942,2,11400,yes
USME32600010,Eros Blues,The Black Crowes,"Chris Robinson,Rich Robinson",224051,192834,6,31700,yes
USME32600009,You Call This A Good Time?,The Black Crowes,"Chris Robinson,Rich Robinson",259279,209037,1,0,yes
USME32600008,Blood Red Regrets,The Black Crowes,"Chris Robinson,Rich Robinson",247911,216000,5,1200,yes
USME32600007,It's Like That,The Black Crowes,"Chris Robinson,Rich Robinson",630758,491457,3947,6128900,yes
USME32600006,Queen of the B-Sides,The Black Crowes,"Chris Robinson,Rich Robinson",240708,226888,24,21600,yes
USME32600005,High & Lonesome,The Black Crowes,"Chris Robinson,Rich Robinson",271309,261831,11,12100,yes
USME32600004,Do The Parasite!,The Black Crowes,"Chris Robinson,Rich Robinson",350064,278398,54,2900,yes
USME32600002,Cruel Streak,The Black Crowes,"Chris Robinson,Rich Robinson",1824711,1655352,38,16900,yes
QM4TW2641949,Sugarcoat It,Adam Chaffins,Adam Chaffins,48425,13811,0,0,yes
QZK6F2610321,Big Steppa,Laron Smith,Chizzy,27107,27090,0,0,yes
QM4TX2654674,IDWKT,Sawyer Utah,Sawyer Utah,8469,8445,0,0,yes
QM4TX2654671,Circles,Sawyer Utah,Sawyer Utah,15663,15618,0,0,yes
QMBZ92501756,Where Do U Go?,Sawyer Utah,Sawyer Utah,141015,140699,0,0,yes
QM4TW2694426,CARS,Sawyer Utah,Sawyer Utah,43453,43427,0,0,yes
QMDA62582033,One More Fix,Sawyer Utah,Sawyer Utah,94635,94580,0,0,yes
QMFMF2505480,Play With My Heart,Sawyer Utah,Sawyer Utah,425535,424979,0,0,yes
QM6N22561874,tears & wishes,Sawyer Utah,Sawyer Utah,41271,41135,0,0,yes
QM4TW2659458,Where Do You Go When It Rains,Joe Bryson,Joe Bryson,4230,4218,0,0,yes
QM4TW2659276,Purgatory,Joe Bryson,Joe Bryson,30494,27299,0,0,yes
QM4TW2659156,My Sunday,Joe Bryson,Joe Bryson,21379,21375,0,0,yes
QM4TW2659471,Come Back Down,Joe Bryson,Joe Bryson,7740,7734,0,0,yes
QZVMS2500035,Crazy Leaf,Brit Taylor,"Adam Chaffins,Jeremy Bussey",6093,5889,2,500,yes
QZVMS2500032,Lately I've Been Thinking,Brit Taylor,Adam Chaffins,7419,7026,8,2200,yes
QZVMS2500031,The Land Of The Forgotten,Brit Taylor,Adam Chaffins,10725,9269,6,6400,yes
QZVMS2500036,Bar's Closing,Brit Taylor,Adam Chaffins,7252,6992,1,800,yes
ES75E2600840,Scared of Loving,Marc Tinez,Marc Tinez,7,7,0,0,yes
QZRD92608512,Drunk Cigs,Mackenzie Carpenter,Jamie Moore,4309835,3859487,14,0,yes
QZVEM2622901,Buried Together,Remy,Remy Gautreau,22087,22087,0,0,yes
QM4TW2610300,I was July,Juliet Ivy,Jason Vance Harris,23922,22991,0,0,yes
QM4TW2694398,LADY,Sawyer Utah,Sawyer Utah,54042,54026,0,0,yes
US5ED2507868,Maybe You're The One,Pop Evil,Kasey Tyndall,475597,369178,0,0,yes
QM24S2600394,Darkness Wins,Erin Kirby,Brinley Addington,248058,234418,0,0,yes
QMRSZ2600123,Uncross Your Heart,Haven Madison,"Brock Westover,Jessica Cayne",263619,216193,0,0,yes
USQX92500137,Get To Love You,220 Kid,Joe Janiak,459037,457383,0,0,yes
USQX92502807,Hold On For Heaven,220 Kid,Joe Janiak,326043,324118,0,0,yes
QZQAY2652037,New City,FEYI,Angel Delrae,600552,580840,0,0,yes
USSM12600451,No Blame,Baby Keem,Volta,7507285,7495515,4,0,yes
USSM12600450,Dramatic Girl,Baby Keem,Volta,24489169,24397114,6,29800,yes
USSM12600448,Highway 95 pt.2,Baby Keem,Volta,16955348,16910465,1038,29100,yes
USSM12600446,$ex Appeal,Baby Keem,Volta,21764434,21713093,52,141300,yes
USSM12600444,House Money,Baby Keem,Volta,30937720,30717822,299,85200,yes
USA2P2605782,Otherside,Bryce Vine,Patrick Ridgen,172301,154007,0,0,yes
QT5M22664584,Playground,Grace Bridie,Grace Bridie,81089,80889,0,0,yes
QZ5FN2643174,prettyboy,Mira Housey,Mira Housey,67854,67270,1,0,yes
QM4TW2668458,Desert Darling,Brooke Lee,Brooke Lee,121870,120391,0,0,yes
QM24S2600627,Heaven,Reaper,JJ Scheff,34463,34274,0,0,yes
USSM12600141,Be Her,Ella Langley,Michael Hardy,510270156,447794485,335929,880643300,yes
QMRSZ2600179,Getaway Car,Dustin Lynch,Brent Anderson,3613969,2971217,136,72200,yes
US6XF2600017,Whipped,Emily Ann Roberts,Ryan Beaver,6768955,6202543,332,520900,yes
QM5QG2553005,American Sky,Morgan Myles,Matthew Morrisey,26298,25827,0,0,yes
ES75E2600789,In God's Hands,Marc Tinez,Marc Tinez,17,16,0,0,yes
CA5KR2614549,Two Steppin,Shankz,Melodie Wagner,236019,233319,0,0,yes
QZEQU2600141,Bourbon And The Bible,Kameron Marlowe,Adam Wood,1158527,1128494,0,0,yes
QZVMS2500034,Around And Around,Brit Taylor,Adam Chaffins,22122,21754,346,272100,yes
KRA382600737,Why U Mad,SKINZ,Ben Samama,22723,22709,0,0,yes
USUG12600832,McArthur,HARDY,Michael Hardy,159699254,127456434,238727,477710500,yes
QZFZ62695533,Jesus Doesn't Care,Colleen McKenna,Joe Bryson,20407,20091,0,0,yes
QZS7J2531421,Pills,Kate Sykes,"Mike Fiorentino,Nathan Barlowe",72,72,0,0,yes
USA2P2514067,Raised By A Woman,Rachel Grae,Joe Janiak,85589,84145,0,0,yes
